Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-08-22,BOM7-1309,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,HYDERABAD,Shipment,2375.53,0.0,1,False,
2025-08-21,BOM7-1295,GP12,B0D7BZ38X8,yantralay Aluminium Car Suction Mount 360  Rotatable for Insta 360 X4 X3 X2  Ace Pro ONE R RS  Hero 13 12 11 10 9 8 7  DJI Osmo Action Series   All O,1,1252.27,Shipment,SHAJAPUR,Shipment,1252.27,0.0,1,False,
2025-08-22,BOM5-1262,INONEX4_COMBO1,B0DX1SWJXZ,yantralay Lens Guard for Insta360 X4   Tempered Glass   Scratch Resistant Protective Lens Cover   Insta360 X4 Camera Accessories   ONEX4 Combo Kit,1,1843.0,Shipment,GANGAKHED,Shipment,1843.0,0.0,1,False,
2025-08-22,BOM7-1308,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,BENGALURU,Shipment,2375.53,0.0,1,False,
2025-08-22,PNQ3-519,PS1,B0BJBL1XBS,yantralay Polyester Dual Controller Hard Carry Case Compatible With Ps5 Ps4 Xbox Ipega Controllers   3 Layer Protection Travel Carry Case   Grey,1,877.85,Shipment,PUNE,Shipment,877.85,0.0,1,False,
2025-08-20,IN-202,GP47_NEW,B0DRYJZ6VH,nan,1,0.0,Cancel,Hyderabad,Cancel,0.0,0.0,0,False,
2025-08-22,PNQ3-520,MP_ONEX4,B0F9X132RD,yantralay Camera Lavalier Clip on Type C Microphone for Insta 360 X4 Collar Clip Microphone  Without Need of Mic Adapter  1 5M Cable Length   Black  I,1,1417.17,Shipment,HYDERABAD,Shipment,1417.17,0.0,1,False,
2025-08-22,BOM7-1312,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1315.0,Shipment,BENGALURU,Shipment,1315.0,0.0,1,False,
2025-08-22,BOM7-1307,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1315.0,Shipment,GURUGRAM,Shipment,1315.0,0.0,1,False,
2025-08-22,BOM7-1310,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1315.0,Shipment,BALLEPALLE,Shipment,1315.0,0.0,1,False,
2025-08-22,BOM7-1304,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,1275.55,Shipment,HYDERABAD,Shipment,1275.55,0.0,1,False,
2025-08-22,BOM5-1263,GP49,B0D456N4QM,yantralay Motorcycle Bike Bicycle Handlebar Mount Clamps with 1 4  Screw Compatible 8 35mm for Gopro Hero 13 12 11 10 9 Max Insta360 ONE X5 X4 X3  ONE,1,873.97,Shipment,BENGALURU,Shipment,873.97,0.0,1,False,
2025-08-15,BOM5-1210,GP47_NEW,B0DRYJZ6VH,yantralay 360  Rotatable Camera Bike Mount Clamp Motorcycle Handlebar Pole Aluminium Mount for Insta360 X5 X4 X3  Ace Pro Pro2  Hero13 12 11 10 9 Osm,1,-1308.53,Refund,NOIDA,Refund,-1308.53,0.0,0,False,
2025-08-22,PNQ3-518,GP46-M_GP46-S_GP25_150CMS,B0F99WWGGT,yantralay Motorcycle Handlebar Clamp Kit with Dual Clamp Mounts   Invisible Selfie Stick for Insta 360 X4 X3 X2 One RS GO 3   Bike Action Camera Mount,1,4254.42,Shipment,AHMEDABAD,Shipment,4254.42,0.0,1,False,
2025-08-22,PNQ3-521,PS2_BLUE,B0BL1H24P4,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,484.03,Shipment,PUTHENCRUZ,Shipment,484.03,0.0,1,False,
2025-08-23,BOM7-1319,PS5_CC1_BLACK,B0BRJM4R9Q,nan,1,0.0,Cancel,NEW DELHI,Cancel,0.0,0.0,0,False,
