Invoice Date,Invoice Number,Sku,Asin,Item Description,Quantity,Invoice Amount,Transaction Type,Ship To City,transaction_type,revenue_calc,shipping_loss_calc,units_sold_calc,needs_estimation,month_tag
2025-09-08,BOM7-1521,PS2_WHITE,B0C46XWQRT,yantralay Controller Gamepad Carry Case   Ultimate Protection Compatible for PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protection  Dur,1,516.06,Shipment,Mumbai,Shipment,516.06,0.0,1,False,
2025-09-08,BOM7-1520,PS2_RED,B0BL1HF4NJ,yantralay Nylon Controller Gamepad Carry Case   Ultimate Protection Compatible For PS5 PS4 PS3 Switch Pro Xbox Joysticks Waterproof  Scratch Protectio,1,469.06,Shipment,Mumbai,Shipment,469.06,0.0,1,False,
2025-09-08,BOM7-1522,GP1620_TLS,B08S7D4LKH,yantralay Upgraded Helmet Chin Strap Mount for Hero 13 12 11 10 9 8 7 6 5  SJCAM  Insta 360   DJI Osmo Action 3   4   Adjustable   Secure Camera Moun,1,1164.97,Shipment,JAMMU,Shipment,1164.97,0.0,1,False,
2025-09-08,BOM5-1375,PS5_CC1_GREY,B0BRJMPHKL,yantralay PS5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Station Accessories   Travel Bag   Grey,1,2375.53,Shipment,MUMBAI,Shipment,2375.53,0.0,1,False,
2025-09-08,BOM7-1517,SHOTGRIP_TLS,B0FCSFYHRJ,yantralay x Teles in ShotGrip   Magnetic Camera Grip with Wireless Shutter for Phone 16 15 14 13  Android  1 4  Tripod Mount Compatible  DSLR Style Cr,1,2362.92,Shipment,MAHESANA,Shipment,2362.92,0.0,1,False,
2025-09-03,BOM5-1348,GP1620_TLS,B08S7D4LKH,yantralay Upgraded Helmet Chin Strap Mount for Hero 13 12 11 10 9 8 7 6 5  SJCAM  Insta 360   DJI Osmo Action 3   4   Adjustable   Secure Camera Moun,1,-1164.97,Refund,HIRANAGAR,Refund,-1164.97,0.0,0,False,
2025-09-08,PNQ3-548,HC10_RS4_STARTRC,B0DB1TBXN1,yantralay ABS Hard Storage Carrying Flight Waterproof Case for DJI Gimbal Stabilizer Accessories  Black,1,5699.0,Shipment,pune,Shipment,5699.0,0.0,1,False,
2025-09-08,BOM7-1524,GP10_RS4MINI_STARTRC,B0DZZFNDHP,yantralay Portable Carrying Storage Case for DJ I Ronin RS4Mini Gimbal EVA Handbag Travel Handheld Shoulder Bag  RS4MINI,1,2631.0,Shipment,JHANSI,Shipment,2631.0,0.0,1,False,
2025-09-08,BOM7-1511,PS5_CC1_BLACK,B0BRJM4R9Q,yantralay PS 5 Carrying Case Bag for PS5 Console Gamepad  Controller  Headset  VR Play Statio n Accessories   Travel Bag   Black,1,2375.53,Shipment,BENGALURU,Shipment,2375.53,0.0,1,False,
2025-09-08,BOM7-1518,GP10_RS4MINI_STARTRC,B0DZZFNDHP,yantralay Portable Carrying Storage Case for DJ I Ronin RS4Mini Gimbal EVA Handbag Travel Handheld Shoulder Bag  RS4MINI,1,2552.07,Shipment,MYSURU,Shipment,2552.07,0.0,1,False,
2025-09-08,BOM5-1376,ACCASEONEX4,B0DZZC8YJV,Yantralay Invisible Dive Case for Insta360 X4   Waterproof Diving Housing Cover  Protective PC Sealed Shell with Bracket for Underwater Photography,1,5654.0,Shipment,MUMBAI,Shipment,5654.0,0.0,1,False,
2025-09-08,BOM7-1513,GP10_OM7P_STARTRC,B0F2J6Z8WT,yantralay Osmo Mobile 7P Case Portable PU Shoulder Bag for DJI OM 7 Pro 7 Gimbal Stabilizer Travel Case for DJI Osmo Mobile 7 7P,1,1260.03,Shipment,CHARIDUAR,Shipment,1260.03,0.0,1,False,
2025-09-08,BOM5-1374,GP10_OM7P_STARTRC,B0F2J6Z8WT,yantralay Osmo Mobile 7P Case Portable PU Shoulder Bag for DJI OM 7 Pro 7 Gimbal Stabilizer Travel Case for DJI Osmo Mobile 7 7P,1,1260.03,Shipment,SURAT,Shipment,1260.03,0.0,1,False,
2025-09-05,BOM7-1475,GP10_OM7P_STARTRC,B0F2J6Z8WT,yantralay Osmo Mobile 7P Case Portable PU Shoulder Bag for DJI OM 7 Pro 7 Gimbal Stabilizer Travel Case for DJI Osmo Mobile 7 7P,1,-1260.03,Refund,KOREGAON,Refund,-1260.03,0.0,0,False,
2025-09-09,BOM7-1526,PS_CDRACK-GREEN,B0DWXXDCX6,yantralay Game Storage Tower for PS5 Xbox Series Switch   Holds 18 Game Discs with 4 Controller Holders   Gaming Desk Organizer   Stand  Green,1,1709.0,Shipment,RANCHI,Shipment,1709.0,0.0,1,False,
2025-09-08,BOM7-1510,SHOTGRIP_TLS,B0FCSFYHRJ,yantralay x Teles in ShotGrip   Magnetic Camera Grip with Wireless Shutter for Phone 16 15 14 13  Android  1 4  Tripod Mount Compatible  DSLR Style Cr,1,2362.92,Shipment,BENGALURU,Shipment,2362.92,0.0,1,False,
2025-09-09,BOM5-1377,GP45-M,B0F88CFJN2,yantralay Magnetic Camera Mount for Hero 13 12 11 10 9  Insta360 X5 X4 X3  Action 4 5  Osmo Pocket 3   360  Quick Release Car Holder  Heavy Duty Magn,1,1607.0,Shipment,RANJANGAON MIDC ta shirur dist Pune,Shipment,1607.0,0.0,1,False,
